CIMV	CIMD S.V. S.A. - OTF FOR DERIVATIVES		CIMD	CIMD	OTFS		ES	MADRID	WWW.GRUPOCIMD.COM/CIMD-SV/	ACTIVE	Europe	Southern Europe	1	1
CIOI	CIOI	CITIGROUP GLOBAL MARKETS INC.	CGMI	CGMI	ATSS	CIOI	US	NEW YORK	WWW.CITIVELOCITY.COM	EXPIRED	Americas	North America	1	1
CISD	NYSE NATIONAL, INC. - DARK	INTERCONTINENTAL EXCHANGE, INC.	XNYS	XNYS	OTHR		US	NEW YORK	WWW.NYSE.COM	ACTIVE	Americas	North America	1	1
CITD	CITI DARK		CITX	CITX	NSPD		JP	TOKYO	WWW.CITIVELOCITY.COM	ACTIVE	Asia	Eastern Asia	1	1
CITX	CITI MATCH - JP	CITIGROUP GLOBAL MARKETS JAPAN INC.	CITX		NSPD	CM	JP	TOKYO	WWW.CITIGROUP.JP	ACTIVE	Asia	Eastern Asia	0	1
CLAU	CLSA AUSTRALIA - DARK	CLSA AUSTRALIA PTY LTD	CLAU		NSPD		AU	SYDNEY	WWW.CLSA.COM	ACTIVE	Oceania	Australia and New Zealand	0	1
CLCH	LCH LTD - CROSS NETTING		XLCH	XLCH	NSPD		GB	LONDON	WWW.LCH.COM	ACTIVE	Europe	Northern Europe	1	1
CLHK	CLSA HONG KONG - DARK		CLHK		NSPD		HK	HONG KONG	WWW.CLSA.COM	ACTIVE	Asia	Eastern Asia	0	1
CLJP	CLSA JAPAN - DARK		CLJP		NSPD		JP	TOKYO	WWW.CLSA.COM	ACTIVE	Asia	Eastern Asia	0	1
CLMX	CLIMEX		CLMX		NSPD		NL	UTRECHT	WWW.CLIMEX.COM	ACTIVE	Europe	Western Europe	0	1
CLPH	CLSA PHILIPPINES - DARK		CLPH		NSPD		PH	MANILA	WWW.CLSA.COM	ACTIVE	Asia	South-Eastern Asia	0	1
CLST	CLEAR STREET		CLST		NSPD	CLST	US	NEW YORK	HTTPS://CLEARSTREET.IO/	ACTIVE	Americas	North America	0	1
CLTD	EEX ASIA PTE. LTD.	EEX ASIA PTE. LTD.	CLTD		RMOS		SG	SINGAPORE	WWW.EEXASIA.COM	ACTIVE	Asia	South-Eastern Asia	0	1
CLVE	VERTO MTF		CLVE		MLTF		GB	LONDON	WWW.CATLEYLAKEMAN.COM	ACTIVE	Europe	Northern Europe	0	1
CMAP	CAPI - APPROVED PUBLICATION ARRANGEMENT		CAPI	CAPI	NSPD	APA CAPI OTF	ES	MADRID	WWW.CAPI.ES	ACTIVE	Europe	Southern Europe	1	1
CMCI	CREDIT INDUSTRIEL ET COMMERCIAL		CMCI		SINT	CIC	FR	PARIS	WWW.CIC.FR	ACTIVE	Europe	Western Europe	0	1
CMCM	CMC MARKETS UK PLC	CMC MARKETS UK PLC	CMCM		SINT		GB	LONDON	WWW.CMCMARKETS.COM	ACTIVE	Europe	Northern Europe	0	1
CMEC	CME CLEARING EUROPE	CME CLEARING EUROPE LIMITED	CMEE	CMEE	NSPD	CME	GB	LONDON	WWW.CMECLEARINGEUROPE.COM	EXPIRED	Europe	Northern Europe	1	1
CMED	CME EUROPE - DERIVATIVES		CMEE	CMEE	NSPD	CME	GB	LONDON	WWW.CMEEUROPE.COM	EXPIRED	Europe	Northern Europe	1	1
