21XX	21X	21X AG	21XX		OTHR	21X	DE	FRANKFURT	WWW.21X.EU	ACTIVE	Europe	Western Europe	0	1
24DX	24X NATIONAL EXCHANGE - DARK	24X NATIONAL EXCHANGE LLC	24EQ	24EQ	RMKT	24EX	US	STAMFORD	WWW.24EXCHANGE.NET	ACTIVE	Americas	North America	1	1
24EQ	24X NATIONAL EXCHANGE LLC	24X NATIONAL EXCHANGE LLC	24EQ		RMKT		US	STAMFORD	HTTPS://24EXCHANGE.COM/	ACTIVE	Americas	North America	0	1
24EX	24 EXCHANGE	24X BERMUDA LIMITED	24EX		NSPD	24EX	BM	BERMUDA	WWW.24EXCHANGE.NET	ACTIVE	Americas	North America	0	1
3579	SSY FUTURES LTD -  FREIGHT SCREEN		3579		NSPD		GB	LONDON	WWW.SSYONLINE.COM	ACTIVE	Europe	Northern Europe	0	1
360D	360X DLT - MTF	360X AG	360X	360X	MLTF		DE	FRANKFURT	WWW.360X.COM	ACTIVE	Europe	Western Europe	1	1
360M	360X MTF	360X AG	360X	360X	MLTF		DE	FRANKFURT	WWW.360X.COM	ACTIVE	Europe	Western Europe	1	1
360T	360T	360 TREASURY SYSTEMS AG	360T		MLTF		DE	FRANKFURT	WWW.360T.COM	ACTIVE	Europe	Western Europe	0	1
360X	360X	360X AG	360X		MLTF		DE	FRANKFURT	WWW.360X.COM	ACTIVE	Europe	Western Europe	0	1
3DXE	3DXE	360 TREASURY SYSTEMS AG	360T	360T	MLTF		DE	FRANKFURT	WWW.360T.COM	ACTIVE	Europe	Western Europe	1	1
4AXE	CTSE NOMINEES	CTSE NOMINEES (PTY) LTD	4AXE		RMKT	4AX	ZA	CAPE TOWN	WWW.CTEXCHANGE.CO.ZA	ACTIVE	Africa	Southern Africa	0	1
A2XX	A2X		A2XX		NSPD	A2X	ZA	JOHANNESBURG	WWW.A2X.CO.ZA	ACTIVE	Africa	Southern Africa	0	1
A5XB	A5X S.A.	A5X S.A.	A5XB		RMKT	A5X	BR	SAO PAULO	WWW.A5X.COM.BR	ACTIVE	Americas	South America	0	1
AACA	CREDIT AGRICOLE CIB		AACA		SINT	CACIB SI	FR	PARIS	WWW.CA-CIB.COM	ACTIVE	Europe	Western Europe	0	1
AAPA	ATHENS EXCHANGE - APA		AAPA		APPA	ATHEX APA	GR	ATHENS	WWW.ATHEXGROUP.GR	ACTIVE	Europe	Southern Europe	0	1
AATS	ASSENT ATS		AATS		ATSS		US	JERSEY CITY	WWW.SUNGARD.COM	ACTIVE	Americas	North America	0	1
ABAN	ABANCA		ABAN		NSPD		ES	MADRID	WWW.ABANCA.COM	ACTIVE	Europe	Southern Europe	0	1
ABFI	ALPHA BANK		ABFI		SINT		GR	ATHENS	WWW.ALPHA.GR	ACTIVE	Europe	Southern Europe	0	1
ABNA	ABN AMRO BANK NV	ABN AMRO BANK N.V.	ABNA		SINT		NL	AMSTERDAM	WWW.ABNAMRO.COM	ACTIVE	Europe	Western Europe	0	1
ABNC	ABN AMRO CLEARING BANK	ABN AMRO CLEARING BANK N.V.	ABNC		SINT	AACB SI	NL	AMSTERDAM	WWW.ABNAMROCLEARING.COM	ACTIVE	Europe	Western Europe	0	1
ABSI	ALM. BRAND BANK		ABSI		SINT		DK	COPENHAGEN	WWW.ALMBRAND.DK	ACTIVE	Europe	Northern Europe	0	1
ABUL	BULGARIAN STOCK EXCHANGE - ALTERNATIVE MARKET	BULGARIAN STOCK EXCHANGE	XBUL	XBUL	RMKT	BSE	BG	SOFIA	WWW.BSE-SOFIA.BG	ACTIVE	Europe	Southeast Europe	1	1
ABXX	VENOMEX LIMITED (EX. YOSHI MARKETS)	VENOMEX LIMITED	VMEX	VMEX	MLTF	VMX	AE	ABU DHABI	WWW.VENOMEX.COM	ACTIVE	Asia	Western Asia	1	1
ACCX	ACCX	ACCX GROUP (UK) LIMITED	ACCX		MLTF		GB	LONDON	WWW.ACCXGROUP.COM	ACTIVE	Europe	Northern Europe	0	1
ACEX	ACE DERIVATIVES AND COMMODITY EXCHANGE LTD		ACEX		NSPD		IN	MUMBAI	WWW.ACEINDIA.COM	ACTIVE	Asia	Southern Asia	0	1
ACKF	KCG ACKNOWLEDGE FI		KNIG	KNIG	NSPD	ACKFI	US	NEW YORK	WWW.KCG.COM	ACTIVE	Americas	North America	1	1
ACXC	ACX CLEARING CORPORATION LTD.	ACX CLEARING CORPORATION LTD.	ACXC		RMOS		AE	ABU DHABI	WWW.ACX.AE	ACTIVE	Asia	Western Asia	0	1
ACXL	ACX	ACX LTD	ACXL		RMOS		AE	ABU DHABI	WWW.ACX.AE	ACTIVE	Asia	Western Asia	0	1
ADRK	ALPHA DRK	TMX GROUP LIMITED	XATS	XATS	RMKT		CA	TORONTO	WWW.TMX.COM	ACTIVE	Americas	North America	1	1
ADVT	ADVISE TECHNOLOGIES - APA TRANSPARENCY REPORTING		ADVT		APPA		US	NEW YORK	WWW.ADVISETECHNOLOGIES.COM	ACTIVE	Americas	North America	0	1
