XEQT	BOERSE BERLIN EQUIDUCT TRADING		XBER	XBER	NSPD		DE	BERLIN	WWW.EQUIDUCT-TRADING.DE	ACTIVE	Europe	Western Europe	1	1
XEQU	BOERSE BERLIN EQUIDUCT TRADING - US	BOERSE BERLIN AG	XBER	XBER	MLTF		DE	BERLIN	WWW.BOERSE-BERLIN.DE	ACTIVE	Europe	Western Europe	1	1
XEQY	BORSA ISTANBUL - EQUITY MARKET		XIST	XIST	NSPD		TR	ISTANBUL	WWW.BORSAISTANBUL.COM	ACTIVE	Asia	Western Asia	1	1
XERE	EUREX REPO - FUNDING AND FINANCING PRODUCTS	EUREX REPO GMBH	XEUP	XEUP	MLTF		DE	FRANKFURT	WWW.EUREXREPO.COM	ACTIVE	Europe	Western Europe	1	1
XERT	EUREX REPO - TRIPARTY	EUREX REPO GMBH	XEUP	XEUP	MLTF		DE	FRANKFURT	WWW.EUREXREPO.COM	ACTIVE	Europe	Western Europe	1	1
XESM	EURONEXT GROWTH DUBLIN	THE IRISH STOCK EXCHANGE PUBLIC LIMITED COMPANY	XDUB	XDUB	MLTF		IE	DUBLIN	WWW.ISE.IE	ACTIVE	Europe	Northern Europe	1	1
XETA	XETRA - REGULIERTER MARKT		XETR	XETR	RMKT	XETRA	DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETB	XETRA - FREIVERKEHR	FRANKFURTER WERTPAPIERBOERSE	XETR	XETR	MLTF	XETRA	DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETC	XETRA INTERNATIONAL MARKET - REGULATED MARKET		XETI	XETI	NSPD		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	EXPIRED	Europe	Western Europe	1	1
XETD	XETRA INTERNATIONAL MARKET - OPEN MARKET		XETI	XETI	NSPD		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	EXPIRED	Europe	Western Europe	1	1
XETE	XETRA - NON-FINANCIAL INSTRUMENTS	DEUTSCHE BOERSE AG	XETR	XETR	MLTF		DE	ESCHBORN	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETF	EURONEXT ETF ACCESS		XPAR	XPAR	NSPD		FR	PARIS	WWW.EURONEXT.COM	ACTIVE	Europe	Western Europe	1	1
XETI	XETRA INTERNATIONAL MARKET		XETI		NSPD		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	EXPIRED	Europe	Western Europe	0	1
XETR	XETRA		XETR		NSPD	XETRA	DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	0	1
XETS	XETRA - SCALE	FRANKFURTER WERTPAPIERBOERSE	XETR	XETR	MLTF		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETU	XETRA - REGULIERTERMARKT - OFF-BOOK		XETR	XETR	RMKT		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETV	XETRA - FREIVERKEHR - OFF-BOOK	FRANKFURTER WERTPAPIERBOERSE	XETR	XETR	MLTF		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETW	XETRA - SCALE - OFF-BOOK	FRANKFURTER WERTPAPIERBOERSE	XETR	XETR	MLTF		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XETX	XETRA - NON-FINANCIAL INSTRUMENTS - OFF-BOOK	DEUTSCHE BOERSE AG	XETR	XETR	MLTF		DE	ESCHBORN	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	1	1
XEUB	EUREX BONDS		XETR	XETR	NSPD		DE	FRANKFURT	WWW.EUREX-BONDS.COM	EXPIRED	Europe	Western Europe	1	1
XEUC	EURONEXT COM, COMMODITIES FUTURES AND OPTIONS		XAMS	XAMS	RMKT		NL	AMSTERDAM	WWW.EURONEXT.COM	ACTIVE	Europe	Western Europe	1	1
XEUE	EURONEXT EQF, EQUITIES AND INDICES DERIVATIVES		XAMS	XAMS	RMKT		NL	AMSTERDAM	WWW.EURONEXT.COM	ACTIVE	Europe	Western Europe	1	1
XEUI	EURONEXT IRF, INTEREST RATE FUTURE AND OPTIONS		XAMS	XAMS	NSPD		NL	AMSTERDAM	WWW.EURONEXT.COM	ACTIVE	Europe	Western Europe	1	1
XEUM	EUREX REPO SECLEND MARKET		XEUP	XEUP	NSPD		DE	FRANKFURT	WWW.EUREXREPO.COM	ACTIVE	Europe	Western Europe	1	1
XEUP	EUREX REPO GMBH		XEUP		NSPD		DE	FRANKFURT	WWW.EUREXREPO.COM	ACTIVE	Europe	Western Europe	0	1
XEUR	EUREX DEUTSCHLAND		XEUR		RMKT		DE	FRANKFURT	WWW.EUREXCHANGE.COM	ACTIVE	Europe	Western Europe	0	1
XEUS	US FUTURES EXCHANGE		XEUS		NSPD		US	CHICAGO		EXPIRED	Americas	North America	0	1
XEYE	IRISH STOCK EXCHANGE  - GLOBAL EXCHANGE MARKET	THE IRISH STOCK EXCHANGE PUBLIC LIMITED COMPANY	XDUB	XDUB	MLTF	ISE GEM	IE	DUBLIN	WWW.ISE.IE	ACTIVE	Europe	Northern Europe	1	1
XFCI	FINANCIALCONTENT - INDEXES		FICO	FICO	NSPD		US	SAN CARLOS	WWW.FINANCIALCONTENT.COM	ACTIVE	Americas	North America	1	1
XFCM	MERCADO DE FUTUROS Y OPCIONES SOBRE CITRICOS		XFCM		NSPD		ES	VALENCIA		EXPIRED	Europe	Southern Europe	0	1
XFCX	FCX	FINCLEAR PTY LTD	XFCX		MLTF	FCX	AU	NORTH SYDNEY	HTTPS://FCX.COM.AU/	ACTIVE	Oceania	Australia and New Zealand	0	1
XFDA	FINANCIALCONTENT - DIGITAL ASSET TRADE REPORTING FACILITY		FICO	FICO	NSPD		US	SAN CARLOS	WWW.FINANCIALCONTENT.COM	ACTIVE	Americas	North America	1	1
XFEX	FEX GLOBAL	FEX GLOBAL PTY LTD	XFEX		NSPD	FEX	AU	SYDNEY	WWW.FEX.COM.AU	ACTIVE	Oceania	Australia and New Zealand	0	1
XFFE	FUKUOKA FUTURES EXCHANGE		XFFE		NSPD		JP	FUKUOKA		EXPIRED	Asia	Eastern Asia	0	1
XFKA	FUKUOKA STOCK EXCHANGE		XFKA		NSPD		JP	FUKUOKA	WWW.FSE.OR.JP	ACTIVE	Asia	Eastern Asia	0	1
XFMN	SOCIETE DU NOUVEAU MARCHE		XFMN		NSPD		FR	PARIS		EXPIRED	Europe	Western Europe	0	1
XFND	FIRST NORTH DENMARK	NASDAQ COPENHAGEN A/S	XCSE	XCSE	MLTF		DK	COPENHAGEN	WWW.OMXNORDICEXCHANGE.COM	EXPIRED	Europe	Northern Europe	1	1
XFNO	BORSA ISTANBUL - FUTURES AND OPTIONS MARKET		XIST	XIST	NSPD		TR	ISTANBUL	WWW.BORSAISTANBUL.COM	ACTIVE	Asia	Western Asia	1	1
XFNX	FINEX (NEW YORK AND DUBLIN)		XFNX		NSPD		IE	DUBLIN		EXPIRED	Europe	Northern Europe	0	1
XFOM	FINNISH OPTIONS MARKET		XFOM		NSPD		FI	HELSINKI		EXPIRED	Europe	Northern Europe	0	1
XFRA	DEUTSCHE BOERSE AG	DEUTSCHE BOERSE AG	XFRA		NSPD		DE	FRANKFURT	WWW.DEUTSCHE-BOERSE.COM	ACTIVE	Europe	Western Europe	0	1
XFTA	FINANCIELE TERMIJNMARKET AMSTERDAM		XFTA		NSPD		NL	AMSTERDAM		EXPIRED	Europe	Western Europe	0	1
XFTX	FTX	FX TRADING LIMITED	XFTX		CASP		AG	ST JOHN	WWW.FTX.COM	ACTIVE	Americas	Caribbean	0	1
XGAI	GAMI ASSET INVESTMENT L.L.C	GAMI ASSET INVESTMENT L.L.C	XGAI		OTHR	GAI	AE	DUBAI	HTTPS://GAMI-INVESTMENT.COM/	ACTIVE	Asia	Western Asia	0	1
XGAS	CENTRAL EASTERN EUROPEAN GAS EXCHANGE LTD		XGAS		NSPD		HU	BUDAPEST	WWW.CEEGEX.COM	ACTIVE	Europe	Central Europe	0	1
XGAT	TRADEGATE EXCHANGE - FREIVERKEHR	TRADEGATE EXCHANGE GMBH	TGAT	TGAT	NSPD	TRADEGATE EXCHANGE	DE	BERLIN	WWW.TRADEGATE.DE	ACTIVE	Europe	Western Europe	1	1
XGCL	GLOBAL COAL LIMITED		XGCL		NSPD	GLOBALCOAL	GB	LONDON	WWW.GLOBALCOAL.COM	ACTIVE	Europe	Northern Europe	0	1
XGCX	GLOBAL COMMODITIES EXCHANGE		GMEG	GMEG	NSPD	GCX	GB	LONDON	WWW.GMEX-GROUP.COM	ACTIVE	Europe	Northern Europe	1	1
XGDX	GLOBAL DERIVATIVES EXCHANGE		GMEG	GMEG	NSPD	GDX	GB	LONDON	WWW.GMEX-GROUP.COM	ACTIVE	Europe	Northern Europe	1	1
XGEM	HONG KONG GROWTH ENTERPRISES MARKET		XHKG	XHKG	NSPD	HK GEM	HK	HONG KONG	WWW.HKGEM.COM	ACTIVE	Asia	Eastern Asia	1	1
XGFI	GFI BASISMATCH	GFI SECURITIES LIMITED	GFIC	GFIC	NSPD		GB	LONDON	WWW.GFIGROUP.COM	EXPIRED	Europe	Northern Europe	1	1
