MXNL	MARKETAXESS NL B.V. - LIVE MARKETS	MARKETAXESS NL B.V.	MANL	MANL	NSPD		NL	AMSTERDAM	WWW.MARKETAXESS.COM	ACTIVE	Europe	Western Europe	1	1
MXOP	MEMX LLC OPTIONS	MEMX LLC	XMEM	XMEM	OTHR		US	JERSEY CITY	HTTPS://MEMX.COM/	ACTIVE	Americas	North America	1	1
MXTE	MX2 LLC EQUITIES	MX2 LLC	XMXT	XMXT	OTHR		US	JERSEY CITY	HTTPS://MEMX.COM	ACTIVE	Americas	North America	1	1
MXTO	MX2 LLC OPTIONS	MX2 LLC	XMXT	XMXT	OTHR		US	JERSEY CITY	HTTPS://MEMX.COM	ACTIVE	Americas	North America	1	1
MYTR	MYTREASURY		MYTR		NSPD		GB	LONDON	WWW.MYTREASURY.COM	ACTIVE	Europe	Northern Europe	0	1
N2EX	N2EX		N2EX		NSPD		GB	LONDON	WWW.N2EX.COM	ACTIVE	Europe	Northern Europe	0	1
NABA	NATIONAL AUSTRALIA BANK - FX DERIVATIVES AND FIXED INCOME SECURITIES	NATIONAL AUSTRALIA BANK LIMITED	NABL	NABL	SINT	NAB	GB	LONDON	WWW.NAB.COM.AU	EXPIRED	Europe	Northern Europe	1	1
NABE	NAB EUROPE LIMITED		NABE		SINT	NABE	GB	LONDON	WWW.NAB.COM.AU	EXPIRED	Europe	Northern Europe	0	1
NABL	NATIONAL AUSTRALIA BANK	NATIONAL AUSTRALIA BANK LIMITED	NABL		SINT	NAB	GB	LONDON	WWW.NAB.COM.AU	EXPIRED	Europe	Northern Europe	0	1
NABP	NATIONAL AUSTRALIA BANK EUROPE S.A.	NATIONAL AUSTRALIA BANK EUROPE S.A.	NABP		SINT		FR	PARIS	WWW.NABEUROPE.COM	ACTIVE	Europe	Western Europe	0	1
NABU	NAB EUROPE LIMITED  - FIXED INCOME SECURITIES		NABE	NABE	SINT	NABE	GB	LONDON	WWW.NAB.COM.AU	EXPIRED	Europe	Northern Europe	1	1
NAMX	NATIONAL MERCANTILE EXCHANGE		NAMX		NSPD	NAMEX	RU	MOSCOW	WWW.NAMEX.ORG	ACTIVE	Europe	Eastern Europe	0	1
NAPA	NASDAQ STOCKHOLM AB - APA SERVICE		NAPA		APPA		SE	STOCKHOLM	WWW.NASDAQOMXNORDIC.COM	ACTIVE	Europe	Northern Europe	0	1
NASB	NASDAQ BALTIC		NASB		NSPD		LT	VILNIUS	WWW.NASDAQBALTIC.COM	EXPIRED	Europe	Northern Europe	0	1
NASD	NSDQ DARK	NASDAQ, INC.	XNAS	XNAS	RMKT	NSDQ DARK	US	NEW YORK	WWW.NASDAQ.COM	UPDATED	Americas	North America	1	1
NASN	NASDAQ OMX DERIVATIVES MARKETS		XSTO	XSTO	NSPD		SE	STOCKHOLM		EXPIRED	Europe	Northern Europe	1	1
NASX	NASD OTC MARKET		NASX		NSPD	NASDOTC	NG	LAGOS	WWW.NASDNG.COM	ACTIVE	Africa	Western Africa	0	1
NATX	NATIXIS		NATX		SINT	NATX	FR	PARIS	WWW.NATIXIS.COM	ACTIVE	Europe	Western Europe	0	1
NAVE	NAVESIS-MTF		TRDE	TRDE	NSPD		GB	LONDON	WWW.TRADITION.COM	EXPIRED	Europe	Northern Europe	1	1
NBFL	NATIONAL BANK FINANCIAL INC.		NBFL		SINT	NBF	GB	LONDON	HTTPS://NBFM.CA/EN	ACTIVE	Europe	Northern Europe	0	1
NBLX	NOBLE EXCHANGE		NBLX		NSPD		US	NEW YORK	WWW.NOBLEX.IO	ACTIVE	Americas	North America	0	1
NBOT	NATIONAL BOARD OF TRADE LIMITED		NBOT		NSPD		IN	INDORE MADHYA PRADESH	WWW.NBOTIND.ORG	ACTIVE	Asia	Southern Asia	0	1
NBXO	NASDAQ OMX BX OPTIONS		XBXO	XBXO	NSPD		US	WASHINGTON		EXPIRED	Americas	North America	1	1
NCEL	PAKISTAN MERCANTILE EXCHANGE		NCEL		NSPD	PMEX	PK	KARACHI	WWW.PMEX.COM.PK	ACTIVE	Asia	Southern Asia	0	1
NCME	SMBC NIKKO CAPITAL MARKETS EUROPE GMBH	SMBC NIKKO CAPITAL MARKETS EUROPE GMBH	NCME		SINT		DE	FRANKFURT	WWW.SMBCNIKKO-CM.COM	ACTIVE	Europe	Western Europe	0	1
NCML	SMBC NIKKO CAPITAL MARKETS LIMITED		NCML		SINT		GB	LONDON	WWW.SMBCNIKKO-CM.COM	ACTIVE	Europe	Northern Europe	0	1
NDCM	ICE ENDEX UK OCM GAS SPOT		NDCM		NSPD	ICE ENDEX OCM	GB	LONDON	WWW.THEICE.COM/ENDEX	ACTIVE	Europe	Northern Europe	0	1
NDEX	ICE ENDEX FUTURES		NDEX		RMKT	ICE ENDEX RM	NL	AMSTERDAM	WWW.THEICE.COM/ENDEX	ACTIVE	Europe	Western Europe	0	1
NDSC	CLEARCORP DEALING SYSTEMS INDIA LIMITED - NDS-CALL	CLEARCORP DEALING SYSTEMS (INDIA) LIMITED	CDSL	CDSL	OTHR	NDS-CALL	IN	MUMBAI	WWW.CCILINDIA.COM	ACTIVE	Asia	Southern Asia	1	1
NDSO	CLEARCORP DEALING SYSTEMS INDIA LIMITED - NDS-OM	CLEARCORP DEALING SYSTEMS (INDIA) LIMITED	CDSL	CDSL	OTHR	NDS-OM	IN	MUMBAI	WWW.CCILINDIA.COM	ACTIVE	Asia	Southern Asia	1	1
