MIC,OPERATING MIC,OPRT/SGMT,MARKET NAME-INSTITUTION DESCRIPTION,LEGAL ENTITY NAME,LEI,MARKET CATEGORY CODE,ACRONYM,ISO COUNTRY CODE (ISO 3166)
NBLX,NBLX,OPRT,NOBLE EXCHANGE,,,NSPD,,US
NFSD,NFSC,SGMT,FIDELITY DARK,,549300JRHF1MHHWUAW04,NSPD,,US
NFSA,NFSC,SGMT,FIDELITY CROSSSTREAM,,549300JRHF1MHHWUAW04,NSPD,,US
NFSC,NFSC,OPRT,"NATIONAL FINANCIAL SERVICES, LLC",,549300JRHF1MHHWUAW04,NSPD,,US
NMRA,NMRA,OPRT,NOMURA SECURITIES INTERNATIONAL,,,NSPD,,US
NODX,NODX,OPRT,NODAL EXCHANGE,,,NSPD,,US
NYPC,NYPC,OPRT,NEW YORK PORTFOLIO CLEARING,,,NSPD,NYPC,US
OLLC,OLLC,OPRT,OTCEX LLC,,549300SFF7YEJGFVDC94,NSPD,,US
PIPE,PIPE,OPRT,ARITAS SECURITIES LLC,,,NSPD,,US
SGMA,SGMA,OPRT,GOLDMAN SACH MTF,,549300CWUTEDC3CFJ739,NSPD,,US
SHAW,SHAW,OPRT,D.E. SHAW,,TNWE6LERP1CI9IDAZB80,NSPD,,US
SHAD,SHAW,SGMT,D.E. SHAW DARK,,TNWE6LERP1CI9IDAZB80,NSPD,,US
SOHO,SOHO,OPRT,"TWO SIGMA SECURITIES, LLC",,549300E6LSX52T58QB70,NSPD,SOHO,US
SSTX,SSTX,OPRT,E-EXCHANGE,,,NSPD,EEXCHANGE,US
TERA,TERA,OPRT,TERAEXCHANGE,,FA5WCATW8PXZ0RD82003,NSPD,,US
TFSU,TFSU,OPRT,TFS GREEN UNITED STATES GREEN MARKETS,,,NSPD,TFS,US
TPSE,TPSE,OPRT,"TP SEF, INC.",,549300VTCEZOP03G9X31,NSPD,,US
TPSV,TPSE,SGMT,"TPSEF, INC - VOICE",,5493008HL7YGILBYY124,NSPD,,US
TRCK,TRCK,OPRT,TRACK ECN,,,NSPD,,US
TRU2,TRUX,SGMT,TRUEEX LLC - SEF (SWAP EXECUTION FACILITY),,,NSPD,,US
TRU1,TRUX,SGMT,TRUEEX LLC - DESIGNATED CONTRACT MARKET (DMC),,,NSPD,,US
TRUX,TRUX,OPRT,TRUEEX LLC,,54930072IAKCWEG27B47,NSPD,,US
TSEF,TSEF,OPRT,TRADITION SEF,,549300MBO45EHETL4438,NSPD,,US
UBSP,UBSA,SGMT,UBS PIN (UBS PRICE IMPROVEMENT NETWORK),,,NSPD,,US
WSAG,WSAG,OPRT,WALL STREET ACCESS,,549300Z0MOT47D6OQV22,NSPD,WSAG,US
XCFF,XCFF,OPRT,CANTOR FINANCIAL FUTURES EXCHANGE,,,NSPD,CANTOR,US
XCUR,XCUR,OPRT,CURRENEX,,,NSPD,,US
XELX,XELX,OPRT,ELX,,,NSPD,,US
XGMX,XGMX,OPRT,GLOBALCLEAR MERCANTILE EXCHANGE,,,NSPD,GMX,US
MOCX,XINS,SGMT,MOC CROSS,,549300MGMN3RKMU8FT57,NSPD,MOCX,US
XMER,XMER,OPRT,MERCHANTS' EXCHANGE,,,NSPD,ME,US
XMGE,XMGE,OPRT,MINNEAPOLIS GRAIN EXCHANGE,,,NSPD,MGE,US
XSEF,XSEF,OPRT,"SWAPEX, LLC",,,NSPD,SWAPEX,US
ASEF,ASEF,OPRT,AEGIS SWAP EXECUTION FACILITY,"AEGIS SEF, LLC",254900ZH79LFSDGGAC34,SEFS,,US
SPTX,SPTX,OPRT,SPOT FX,SPOTEX LLC,98450055C2FB0C474126,OTHR,SPOTEX,US
FXNM,THRE,SGMT,REFINITIV MATCHING NDFS SEF,REFINITIV US SEF LLC,549300WQWDPFSMQ8I087,SEFS,,US
CAST,CAST,OPRT,"FORECASTEX, LLC","FORECASTEX, LLC",2549001HQ7OKKPL03I86,DCMS,,US
FUSD,LEDG,SGMT,FTX US DERIVATIVES,"LEDGER X, LLC",549300UG0YZD2A0QYQ41,DCMS,,US
RAJA,RAJA,OPRT,RAYMOND JAMES,"RAYMOND JAMES AND ASSOCIATES, INC.",U4ONQX15J3RO8XCKE979,OTHR,,US
LPSF,LPSF,OPRT,LPSFX LLC,LPSFX LLC,98450040858B75A8E878,SEFS,,US
SPAX,SPAX,OPRT,SPECTRAXE,"SPECTRAXE, LLC",549300FM6WZ691YSFT22,SEFS,,US
JLEQ,JLQD,SGMT,JUMP LIQUIDITY - US EQUITY PLATFORM,"JUMP EXECUTION, LLC",549300ZDS2O1LQJGVJ79,NSPD,JLEQ,US
IEXC,IEXG,SGMT,INVESTORS EXCHANGE - DAX FACILITY,IEX DAX LLC,549300H1YDWCPFOUGE67,RMKT,IEX DAX,US
INTL,INTL,OPRT,STONEX FINANCIAL INC.,STONEX FINANCIAL INC.,549300LNKU6K5TJCRG93,ATSS,,US
U360,U360,OPRT,360 TRADING NETWORKS INC.,360 TRADING NETWORKS INC.,5493006UQP8F8P24HJ68,SEFS,,US
EDXM,EDXM,OPRT,EDX MARKETS,EDX MARKETS LLC,549300LYIAOCJDKQAI12,OTHR,EDXM,US
RTXF,RTXF,OPRT,RTX FINTECH AND RESEARCH,RTX FINTECH AND RESEARCH LLC,549300UDXT9JSAE4QH10,SEFS,,US
